yourlist:M201812188471C63D39733769F8E060B506551E1201F3EBJ	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
133232	Q6ZUA9	MROH5_HUMAN	reviewed	Maestro heat-like repeat family member 5	MROH5	Homo sapiens (Human)	1318
133233	Q8NHW3	MAFA_HUMAN	reviewed	Transcription factor MafA (Pancreatic beta-cell-specific transcriptional activator) (RIPE3b1 factor) (V-maf musculoaponeurotic fibrosarcoma oncogene homolog A)	MAFA	Homo sapiens (Human)	353
133276	Q6ZQR2	CFA77_HUMAN	reviewed	Cilia- and flagella-associated protein 77	CFAP77 C9orf171	Homo sapiens (Human)	320
133279	Q6UWW0	LCN15_HUMAN	reviewed	Lipocalin-15	LCN15 UNQ2541/PRO6093	Homo sapiens (Human)	184
133293	Q6ZN16	M3K15_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 15 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 3) (MAPK/ERK kinase kinase 15) (MEK kinase 15) (MEKK 15)	MAP3K15 ASK3	Homo sapiens (Human)	1313
133302	A6NNY8	UBP27_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27)	USP27X USP22L USP27	Homo sapiens (Human)	438
133309	Q8WW36	ZCH13_HUMAN	reviewed	Zinc finger CCHC domain-containing protein 13	ZCCHC13	Homo sapiens (Human)	166
133317	Q5JXB2	UE2NL_HUMAN	reviewed	Putative ubiquitin-conjugating enzyme E2 N-like (Epididymis tissue protein Li 174)	UBE2NL	Homo sapiens (Human)	153
133321	Q9Y5P2	CSAG2_HUMAN	reviewed	Chondrosarcoma-associated gene 2/3 protein (Cancer/testis antigen 24.2) (CT24.2) (Taxol-resistant-associated gene 3 protein) (TRAG-3)	CSAG2 TRAG3; CSAG3 CSAG3A	Homo sapiens (Human)	127
133405	Q8NH49	OR4X1_HUMAN	reviewed	Olfactory receptor 4X1 (Olfactory receptor OR11-104)	OR4X1	Homo sapiens (Human)	305
133421	Q8N162	OR8H2_HUMAN	reviewed	Olfactory receptor 8H2 (Olfactory receptor OR11-171)	OR8H2	Homo sapiens (Human)	312
133424	Q8NG75	OR5T1_HUMAN	reviewed	Olfactory receptor 5T1 (Olfactory receptor OR11-179)	OR5T1 OR5T1P	Homo sapiens (Human)	326
133517	A6NIJ9	O6C70_HUMAN	reviewed	Olfactory receptor 6C70	OR6C70	Homo sapiens (Human)	312
133570	P60153	RNAS9_HUMAN	reviewed	Inactive ribonuclease-like protein 9	RNASE9	Homo sapiens (Human)	205
133620	C9JR72	KBTBD_HUMAN	reviewed	Kelch repeat and BTB domain-containing protein 13	KBTBD13	Homo sapiens (Human)	458
133642	Q6ZNW5	GDPP1_HUMAN	reviewed	GDP-D-glucose phosphorylase 1 (EC 2.7.7.78)	GDPGP1 C15orf58	Homo sapiens (Human)	385
133653	P60827	C1QT8_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 8 (C1q/TNF-related protein 8) (CTRP8)	C1QTNF8 UNQ5829/PRO19648	Homo sapiens (Human)	252
133721	Q8NG95	OR7G3_HUMAN	reviewed	Olfactory receptor 7G3 (OST085) (Olfactory receptor OR19-9)	OR7G3	Homo sapiens (Human)	312
133735	A8MXV4	NUD19_HUMAN	reviewed	Nucleoside diphosphate-linked moiety X motif 19 (Nudix motif 19) (EC 3.6.1.-)	NUDT19	Homo sapiens (Human)	375
133738	Q6ZN11	ZN793_HUMAN	reviewed	Zinc finger protein 793	ZNF793	Homo sapiens (Human)	406
133739	Q6ZNF0	ACP7_HUMAN	reviewed	Acid phosphatase type 7 (EC 3.1.3.2) (Purple acid phosphatase long form)	ACP7 PAPL PAPL1	Homo sapiens (Human)	438
133751	Q5CZA5	ZN805_HUMAN	reviewed	Zinc finger protein 805	ZNF805	Homo sapiens (Human)	627
133764	Q5VTA0	PRA17_HUMAN	reviewed	PRAME family member 17	PRAMEF17	Homo sapiens (Human)	474
133800	Q6RSH7	VHLL_HUMAN	reviewed	von Hippel-Lindau-like protein (VHL-like protein) (VLP)	VHLL VLP	Homo sapiens (Human)	139
133896	Q6GMV3	PTRD1_HUMAN	reviewed	Putative peptidyl-tRNA hydrolase PTRHD1 (EC 3.1.1.29) (Peptidyl-tRNA hydrolase domain-containing protein 1)	PTRHD1 C2orf79	Homo sapiens (Human)	140
